Sample,Site,long,lat,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Li,Sc,V,Cr,Co,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Cd,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204
WQ7b3,"Fiji (Seatura, Type II FOIB)",,,49.14,2.16,17.52,10.28,0.14,4.92,10.65,3.87,0.94,0.38,,24.1,212,,,,33,92,,14.67,522.64,21.86,185.05,25.87,,,216.92,4.51,19.35,4.51,19.35,4.8,1.84,4.67,0.73,3.86,0.72,2,0.29,1.67,0.25,4.57,0.91,2.14,2.05,0.6,,,,,
Mago,"Fiji (Mago, Type I FOIB)",-17.46,-179.15,47.22,1.92,16.13,9.85,0.16,9.98,9.95,2.62,1.3,0.56,,28.48881005,216.8926454,,,,63.33265245,65.06779361,,31.85225143,596.1054935,24.57467415,152.0378799,43.67062959,,0.199905021,478.270024,31.76523223,59.61894667,7.011682602,27.44990553,5.873216919,1.950239545,5.38191575,0.853489152,5.057080248,0.987240758,2.570481067,0.361341356,2.241667928,0.35046553,3.331640726,2.73396976,1.96278311,4.1471144,0.934923957,0.703633,0.512861,18.7755,15.5838,38.5026
WQ2083,"Fiji (Vatu-i-ra, Type I FOIB)",,,45.92,1.78,14.16,12.66,0.18,10.48,10.75,3.08,0.62,0.36,,30.19310751,252,,,,78,97,,10.15645384,611.4966731,24.29875352,123.1413869,17.3917734,,0.085698342,211.0043779,19.19329719,41.07501225,5.304758538,22.49874561,5.390743769,1.84984983,5.4166321,0.866601428,5.098905,0.973843792,2.439017205,0.342427141,2.044742184,0.300597988,2.95305464,1.035024297,1.694183337,1.622288403,0.468370183,,,,,
W251,"Fiji (Koro, Type I FOIB)",-17.31,179.44,45.32,2.33,14.85,11.09,0.19,10.94,10.49,2.5,1.32,0.59,,28.29785718,238.3938978,,,,63.63502451,82.63055421,,27.70467243,740.0398451,29.83363886,217.0822773,46.33410173,,,443.5327728,8.142260675,32.33653928,8.142260675,32.33653928,6.731603621,2.157196041,6.042690114,0.945757166,5.175628968,1.033162937,2.725581647,0.390880857,2.397190223,0.3452437,4.458396233,2.717119633,2.835312712,4.574039754,1.062456769,0.70367,0.512877,18.7242,15.5644,38.4382
WQ283,"Fiji (Suvasuva, Type I/II FOIB)",,,45.39,2.02,14.22,11.36,0.19,10.75,10.59,3.47,1.46,0.54,,29.7,216,,,,96,97,,37.16,609.22,32.19,216.65,56.04,,,491.54,9,34.03,9,34.03,6.87,2.22,6.79,0.95,5.15,0.99,2.81,0.41,2.6,0.39,4.59,1.94,3.38,4.56,1.3,,,,,
WQ271a3,"Fiji (Nairai, Type I FOIB)",-17.84,179.41,45.01,2.3,15.07,11.32,0.18,10.24,10.17,3.61,1.49,0.61,,27.17597206,221.5946299,,,,49.7167439,77.41607264,,31.10400325,717.6779595,31.59114654,221.5049782,46.79695654,,,485.0431089,8.288107277,33.60243503,8.288107277,33.60243503,7.152544541,2.266386877,6.433075826,0.994483379,5.435992783,1.094294439,2.904595661,0.39739835,2.525966132,0.365839842,4.535203215,2.725957391,3.164864012,4.579359417,1.111793977,0.703627,0.512888,18.7343,15.5678,38.4642
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W135 ,"Fiji (Taveuni, Type I FOIB) ",-16.5,-179.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703496,0.512946,,,
WQ208 ,"Fiji (Vatu-i-ra, Type I FOIB) ",-17.32,178.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703807,0.512877,18.87,15.583,38.6959
WQ28 ,"Fiji (Suvasuva, Type I/II FOIB) ",-16.76,179.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704071,0.512819,18.8022,15.6015,38.5928
WQ7b ,"Fiji (Seatura, Type II FOIB) ",-17,178.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703926,0.512831,18.554,15.5712,38.5055
NLTD 44-1 ,Fiji Triple Junction ,-17.31,173.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70291,0.513129,18.0671,15.476,37.8191
NLTD 45-1 ,Fiji Triple Junction ,-17.19,173.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703621,0.51285,18.6162,15.5731,38.679
NLTD 45-2 ,Fiji Triple Junction ,-17.19,173.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702908,0.51315,18.0582,15.4784,37.8207
NLTD 46-1 ,Fiji Triple Junction ,-17.07,173.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70285,0.513145,18.009,15.4763,37.7408
