Sample,Site,long,lat,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Li,Sc,V,Cr,Co,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Cd,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,serie,ISGN
FU3-DR15-01,Fatu Kapa,-177.21262,-14.78518,54.91499894,1.595041463,15.06868363,10.66002866,,3.992557202,7.66808753,3.814229585,1.119501151,0.287305605,,25.7,188.3,63,28.47,37.2,,,,19.58,158.2,50.9,217,17.417,,0.244,173.2,16.5,36.84,5.119,23.43,6.507,2.0379,7.827,1.3633,8.929,1.8902,5.455,,5.247,0.797,5.72,1.222,2.24,2.147,0.788,0.70375,0.513018,18.601,15.54,38.441,1A,BFBG-154776
FU3-DR15-02,Fatu Kapa,-177.21262,-14.78518,54.76563842,1.560756078,15.05085797,10.98493927,,4.165329914,7.942956089,3.837272904,1.004053273,0.278351402,,27.2,195.7,66,29.62,34.2,,,,18.17,155.1,51.75,211,16.928,,0.24,162.4,15.8,35.85,4.842,22.76,6.408,1.948,7.93,1.338,8.838,1.8693,5.367,,5.184,0.771,5.48,1.148,2.03,2.038,0.757,0.70362,,18.695,15.563,38.574,1A,BFBG-154777
FU3-PL02-03,Fatu Kapa,-177.15384,-14.73576,57.44103936,1.56828827,14.55133294,11.30557177,,2.094359652,5.300417318,5.012566939,1.469029519,0.486367881,,,,,,,,,,22.01025483,139.1031761,84.79541913,355.1734528,28.10845631,,0.34339517,260.4729015,26.53005575,57.45276619,8.26496176,38.32626361,10.69470798,3.117269011,12.89125149,2.180733342,14.16107015,2.988988627,8.973122079,,8.327358405,1.214933107,8.688014384,1.825295829,,2.719248715,0.826239051,,,,,,1A,BFBG-154777
FU3-PL03-01,Fatu Kapa,-177.16966,-14.73257,63.00267154,1.022899617,13.83397249,8.322231834,,1.300969416,3.525527805,5.273395112,1.857109013,0.248276606,,,,,,,,,,30.75370054,86.06658697,104.1678763,507.2051508,37.93178095,,0.33679495,298.1245176,30.52125272,67.29203485,9.150863974,40.64656081,11.18876038,2.585204167,13.13604691,2.295141745,15.44124175,3.266534933,10.09532953,,9.942519164,1.463919881,12.63079525,2.342794077,3.470159519,4.0331568,1.187975541,,,,,,1B(a),BFBG-154781
FU3-PL03-02,Fatu Kapa,-177.171,-14.73513,62.52545056,1.087743091,13.75500581,8.622836136,,1.443731738,3.78732367,5.280498276,1.819497533,0.257102912,,12.7,51.5,33,15.62627627,10.54191837,,,,37.42,103.7,96.11,503,35.848,,0.341,314.8,30.1,68.76,9.636,43.46,11.743,2.7983,13.804,2.3746,16.358,3.4707,10.557,,10.391,1.559,12.74,2.42,2.97,4.208,1.284,,,,,,1B(a),BFBG-154782
FU3-PL03-03,Fatu Kapa,-177.16621,-14.73499,61.25805901,1.205594967,13.87422404,9.111135732,,1.768864746,4.338165495,5.15836535,1.709573191,0.276693927,,14.2,71.2,42,11.52194588,3.944117979,,,,35.08,113,92.36,475,34.089,,0.305,294,28.6,66.52,9.105,40.59,11.11,2.7199,13.382,2.3016,15.558,3.3056,9.859,,9.848,1.492,11.76,2.295,2.89,3.719,1.214,,,,,,1B(a),BFBG-154783
FU3-PL03-04,Fatu Kapa,-177.1637,-14.73502,64.15952294,0.952422174,13.59185812,8.016219969,,1.140922397,3.26403016,5.397058989,1.984212864,0.228184479,,,,,,,,,,27.38024713,69.11616874,105.389483,539.5066027,41.60355218,,0.328958022,295.9523624,27.38517293,59.50624569,8.735144304,38.04205911,10.714041,2.33041732,12.5372437,2.251496408,15.07830698,3.235516542,10.02819478,,10.08244768,1.501408699,13.11019814,2.460304571,6.806004508,3.690020111,1.029470332,,,,,,1B(a),BFBG-154784
FU3-PL03-05,Fatu Kapa,-177.16286,-14.73801,56.72766639,1.646868244,14.43489937,11.64712843,,2.252042719,5.575541887,4.781870444,1.43852949,0.496044652,,,,,,,,,,25.89845254,147.6973246,81.92230302,332.4368073,27.10061407,,0.337106564,233.4008614,25.8219067,56.12858948,7.939442437,37.48976221,10.57267393,3.141533017,12.74764787,2.109415477,13.85896775,2.896079492,8.68808872,,8.040965974,1.18802106,8.388761282,1.743669248,4.235758653,2.497434436,0.836692202,0.70372,0.512986,18.557,15.551,38.439,1A,BFBG-154785
FU3-PL03-07,Fatu Kapa,-177.17587,-14.73712,63.17264099,1.021793659,13.75949326,8.283472869,,1.319403463,3.571317644,5.287534179,1.874941763,0.24800817,,,,,,,,,,24.05710471,76.05901219,102.8649671,508.3303908,36.59710789,,0.318959356,286.5621175,28.30981096,54.44117259,8.503175021,38.70315764,10.72472853,2.47047129,12.77921603,2.262741208,15.01854186,3.21438167,9.909476753,,9.704756263,1.434362779,12.34882649,2.357701675,2.659759993,3.688429249,1.103585834,0.70379,0.513003,18.581,15.555,38.461,1B(a),BFBG-154787
FU3-PL06-09,Fatu Kapa,-177.12975,-14.75528,52.34663146,2.257349039,14.82690492,12.31100489,,4.663862112,8.671402476,3.560048264,0.815430049,0.26849526,,31.1,327.3,22,36.14,17.1,,,,15.37,229.7,35.71,159,,,0.2,159.1,15.3,32.85,4.344,19.54,5.15,1.7237,6.011,0.984,6.478,1.3354,3.838,,3.52,0.522,4.12,1.284,2.04,2.008,0.606,0.70373,0.512977,18.914,15.581,38.785,4,BFBG-154813
FU3-PL07-02,Fatu Kapa,-177.1686,-14.73736,50.27530538,1.562340167,15.34298164,11.71755125,,7.030530752,11.2368312,2.874305308,0.430645046,0.180270019,,,,,,,,,,6.825779683,149.5448137,39.15275213,120.802398,18.29,,0.075369967,80.27065019,8.025453557,17.39013536,2.862141746,13.63963997,4.04509426,1.474387823,5.355990883,0.905515057,6.106957579,1.293097035,3.707681968,,3.529700043,0.521099332,3.115112003,0.614790336,2.614703865,0.801851015,0.275078455,,0.513025,18.525,15.54,38.392,1A,BFBG-154825
FU3-PL07-03,Fatu Kapa,-177.1687,-14.73753,49.95797615,1.490834858,15.74881924,11.31633708,,7.103978183,11.55647155,2.771552052,0.430240932,0.160089649,,,,,,,,,,7.646235068,145.0980657,35.60253852,107.0973846,9.26948624,,0.117661071,68.70709712,7.027236832,15.17261827,2.509282816,12.18106371,3.648792043,1.331446577,4.777514456,0.814103938,5.57232957,1.174546144,3.391277508,,3.206433907,0.471279137,2.747521513,0.535164092,0.861341916,0.70236158,0.253003073,,,,,,1A,BFBG-154826
FU3-PL12-07,Fatu Kapa,-177.15468,-14.73888,49.99961333,1.76847507,14.95165286,11.84677334,,6.852840895,11.23383595,2.783338604,0.492359536,0.180866768,,39,317.2,130,44.14,57.4,,,,10.89,194.4,31.88,114,8.124083971,,0.108,102,9,20.88,2.966,13.97,4.076,1.4693,5.086,0.8459,5.651,1.1777,3.332,,3.032,0.457,3.02,0.731,1.27,0.932,0.276,,,18.655,15.563,38.535,1A,BFBG-154826
FU3-PL13-01,Fatu Kapa,-177.1049,-14.74645,50.11189721,1.832629334,14.82126456,12.07732774,,6.419209854,11.186049,2.92419544,0.530761501,0.180258623,,,,,,,,,,11.22721789,160.0215208,38.98856088,115.6772143,10.702,,0.20286237,138.7100698,8.335681012,17.70215418,2.819549764,13.82496074,4.128456638,1.463519054,5.343607284,0.898050791,5.798385142,1.242717605,3.664303646,,3.30241588,0.493865283,2.977114319,0.646257158,1.209533877,0.822217417,0.29419638,,,,,,1A,BFBG-154871
FU3-PL17-01,Fatu Kapa,-177.18563,-14.75968,51.44048745,2.654864118,14.45204226,13.6436062,,3.962334792,8.64327942,3.692856103,0.898262295,0.329362842,,,,,,,,,,16.76460378,176.8772854,52.19276726,191.0600858,10.09458193,,0.337288803,156.074993,14.30442947,33.36075825,4.675678843,21.75354633,6.034656177,2.0526514,7.346860058,1.233446484,7.882864601,1.619249971,4.80701895,,4.333118909,0.642865687,4.587374948,1.197299151,1.763554235,1.461128266,0.440247906,,,,,,1A,BFBG-154891
FU3-PL19-05,Fatu Kapa,-177.173357,-14.778339,55.73353887,1.836718326,14.34812757,11.30668002,,2.606955043,6.142144078,4.315300582,1.441725137,0.592489782,,19.9,120,10,18.84,6.6,,,,25.68,184.1,65.63,271,18.56729641,,0.354,237.5,22.3,51.07,7.152,33.95,9.126,2.7394,10.595,1.7728,11.454,2.4001,6.868,,6.354,0.958,6.7,1.644,2.59,2.319,0.809,,,,,,1A,BFBG-154913
FU3-PL19-07,Fatu Kapa,-177.15809,-14.78513,60.11385156,1.235820737,14.58464632,8.748826169,,1.667377185,4.227291568,4.707888521,1.981236419,0.372707841,,,,,,,,,,28.63633579,123.1658076,76.66571452,360.1295996,24.464,,0.385987273,272.7824642,25.22848857,55.68520292,7.314277647,32.60571471,8.697918601,2.354336005,10.04391834,1.721685505,11.32075082,2.386008055,7.26068033,,6.937030146,1.030137952,8.700000738,1.724731956,3.370532829,2.995910114,0.911237206,,,,,,1B(a),BFBG-154916
FU3-PL19-08,Fatu Kapa,-177.158008,-14.78513,60.81264362,1.243693085,14.69729368,8.705851594,,1.668128026,4.214737676,4.935290019,1.806316147,0.375082041,,,,,,,,,,27.05649132,122.2971876,78.22014201,363.9142044,27.23739067,,0.381643267,290.4188641,25.66551483,53.66675287,7.580797283,34.50350787,9.006930643,2.550901725,10.61021521,1.82800822,12.14436825,2.545869597,7.532374592,,7.557677571,1.096178528,9.072537538,1.842654058,3.301805313,2.967914703,0.889974207,,,,,,1B(a),BFBG-154917
