"","Sample","lat","long","Type","Location","SiO2","TiO2","Al2O3","Fe2O3","MnO","MgO","CaO","Na2O","K2O","P2O5","Li","Sc","V","Cr","Co","Ni","Cu","Zn","As","Rb","Sr","Y","Zr","Nb","Cd","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","Pb","Th","U","Nd143_Nd144","Nd143_Nd144_SD","Sr87_Sr86","Sr87_Sr86_SD","Pb206_Pb204","Pb206_Pb204_SD","Pb207_Pb204","Pb207_Pb204_SD","Pb208_Pb204","Pb208_Pb204_SD"
"1","E-11-03",-17.064306,168.415611,"Artefact","Emae",70.1,0.296,13.9,4.06,0.131,0.252,1.73,4.3,4.12,0.05,22.2,11.4,1,4.55,1.19,8.37,23.2,93.5,3.81,87,165,41.8,229,5.57,0.351,1.94,961,23.7,49.2,6.32,25.1,5.8,1.15,5.99,1.04,6.63,1.44,4.45,0.699,4.7,0.742,6.46,0.311,14.3,5.55,2.04,0.51294,4e-06,0.704452,8.1e-05,18.383,0.001,15.535,0.001,38.46,0.002
"2","E-11-06",-17.064333,168.415333,"Artefact","Emae",49.6,0.77,15.2,11.4,0.204,7.58,10.9,2.57,0.763,0.3,5.08,36.9,348,101,38.9,1030,106,111,0.371,10.4,815,16,46,1.05,0.219,0.328,286,17.7,38.2,5.14,21.8,4.53,1.44,3.96,0.534,3.01,0.598,1.57,0.225,1.48,0.214,1.37,0.048,6.55,2.88,0.576,0.512927,3e-06,0.704193,2.4e-05,18.557,0.001,15.568,0.001,38.531,0.002
"3","E-11-07",-17.064222,168.413083,"Artefact","Emae",48.9,0.781,16.3,11.8,0.206,6.47,10.2,2.68,0.813,0.314,5.46,35.2,368,469,79.3,3810,251,301,0.588,12.7,885,16.8,45.6,1.23,0.221,0.425,336,16.4,35.2,4.67,20,4.3,1.44,3.87,0.567,3.17,0.622,1.67,0.254,1.53,0.217,1.41,0.092,10.2,2.43,0.587,0.512932,4e-06,0.704155,1.3e-05,18.534,0.001,15.565,0.001,38.506,0.003
"4","E-11-08",-17.05966,168.424575,"Artefact","Emae",46.7,3.46,15.4,14.5,0.181,4.58,7.65,3.58,1.4,0.66,8.22,16,229,85.5,49.4,5090,21.7,284,1.18,36.6,704,45.5,404,49.7,0.587,0.276,320,36.9,87,11.8,51,12.4,4.2,12.3,1.83,9.68,1.72,4.13,0.543,3.2,0.43,9.79,3.28,9.06,3.89,1.11,0.512854,3e-06,0.705291,1.2e-05,18.846,0.001,15.586,0.001,38.822,0.002
"5","E-11-10",-17.0605,168.419417,"Source","Emae",50.2,0.679,15,10.2,0.185,8.33,11.6,2.54,0.973,0.346,5.57,35.2,309,199,34.2,63.4,173,135,1.24,16.8,911,15.9,55.1,1.23,0.184,0.464,323,24.7,52,6.87,29.1,5.59,1.68,4.52,0.587,3.1,0.57,1.56,0.211,1.47,0.198,1.57,0.071,7.91,4.16,0.965,0.512924,4e-06,0.704177,1.6e-05,18.564,0.001,15.569,0.001,38.528,0.002
"6","E-11-11",-17.065028,168.415333,"Source","Emae",49.2,0.806,17.8,11.9,0.212,5.79,10.1,3.03,1.22,0.351,6.34,32.3,345,27.7,33.7,29.2,167,96.1,1.03,13.4,883,18.4,39.6,1.09,0.235,0.229,331,13,28.4,3.97,18,4.18,1.42,4.02,0.582,3.33,0.672,1.84,0.259,1.71,0.252,1.25,0.065,5.19,1.46,0.438,0.512939,4e-06,0.704146,1.2e-05,18.544,0.001,15.56,0.001,38.522,0.002
"7","E-11-13",-17.065028,168.415333,"Source","Emae",49,0.864,18.9,12.3,0.224,5.59,10.2,3.34,0.798,0.376,5.56,27.5,367,7.12,36.3,23.9,167,102,0.502,9.24,910,18,29.6,0.78,0.162,0.233,329,9.77,21.5,3.09,14.4,3.6,1.36,3.73,0.559,3.25,0.666,1.85,0.264,1.6,0.24,0.94,0.041,4.65,0.529,0.194,0.512951,4e-06,0.70412,1.2e-05,18.311,0.002,15.536,0.001,38.261,0.018
"8","E-11-16",-17.065028,168.415333,"Source","Emae",49.1,0.849,19,12.4,0.224,5.51,10.3,3.38,0.759,0.38,5.98,26.5,365,6.61,36.3,23.1,127,111,0.668,9.76,927,18.3,30.5,0.798,0.159,0.222,339,10.1,22.3,3.26,15.2,3.74,1.41,3.8,0.575,3.33,0.67,1.8,0.254,1.73,0.255,1.01,0.05,2.96,0.546,0.221,0.512951,3e-06,0.704126,1.7e-05,18.517,0.001,15.548,0.001,38.519,0.002
"9","E-11-18",-17.043806,168.419917,"Source","Emae",46.9,0.708,16.8,13.2,0.231,7.97,12.6,2.6,0.701,0.164,5.53,42.8,371,101,49,55.9,155,83.3,0.813,9.8,594,16.2,29.2,0.571,0.214,0.215,224,6.41,14.1,2.15,10.5,2.81,1.06,2.99,0.485,2.96,0.604,1.66,0.234,1.63,0.226,0.974,0.034,3.31,0.716,0.254,0.512954,4e-06,0.704151,1.4e-05,18.512,0.001,15.555,0.001,38.494,0.002
"10","E-11-19",-17.039111,168.413111,"Source","Emae",46.1,0.668,17.4,12.3,0.214,7.95,12.1,2.11,0.621,0.151,NA,45.2,379,90.6,45.8,62.5,NA,NA,NA,7.1,604,14.9,27.7,0.586,NA,NA,205,6.14,14.4,NA,16.2,2.5,0.852,2.81,NA,2.7,NA,1.94,NA,1.49,NA,NA,NA,NA,0.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
